playerId,firstName,lastName,teamId,country,dateOfBirth,height,weight
277,Tyler,Johnson,4,USA,1992-05-07,1.9,84.4
220,Gary,Harris,26,USA,1994-09-14,1.93,95.3
206,JaMychal,Green,9,USA,1990-06-21,2.03,103.0
184,Marc,Gasol,19,Spain,1985-01-29,2.11,115.7
298,DANIEL,KOPERBERG,,,,,
351,Doug,McDermott,31,USA,1992-01-03,2.01,102.1
145,Toney,Douglas,23,USA,1986-03-16,1.88,88.5
216,James,Harden,4,USA,1989-08-26,1.96,99.8
127,Deyonta,Davis,14,USA,1996-12-02,2.11,107.5
124,Stephen,Curry,11,USA,1988-03-14,1.88,83.9
