id,full_name
203500,Steven Adams
1628389,Bam Adebayo
200746,LaMarcus Aldridge
1629734,Kyle Alexander
1629638,Nickeil Alexander-Walker
1628960,Grayson Allen
1628386,Jarrett Allen
1628443,Kadeem Allen
202329,Al-Farouq Aminu
1626147,Justin Anderson
203937,Kyle Anderson
201583,Ryan Anderson
203507,Giannis Antetokounmpo
1628961,Kostas Antetokounmpo
203648,Thanasis Antetokounmpo
2546,Carmelo Anthony
1628384,OG Anunoby
1627853,Ryan Arcidiacono
2772,Trevor Ariza
201571,D.J. Augustin
1629028,Deandre Ayton
1628407,Dwayne Bacon
1628963,Marvin Bagley III
1628366,Lonzo Ball
1628964,Mo Bamba
200826,J.J. Barea
203084,Harrison Barnes
1629628,RJ Barrett
203115,Will Barton
1628966,Keita Bates-Diop
201587,Nicolas Batum
203382,Aron Baynes
203145,Kent Bazemore
1629647,Darius Bazley
203078,Bradley Beal
1627736,Malik Beasley
201158,Marco Belinelli
1628395,Jordan Bell
1627761,DeAndre' Bembry
1627733,Dragan Bender
202722,Davis Bertans
201976,Patrick Beverley
203920,Khem Birch
1629048,Goga Bitadze
202687,Bismack Biyombo
202357,Nemanja Bjelica
202339,Eric Bledsoe
203992,Bogdan Bogdanovic
202711,Bojan Bogdanovic
1629626,Bol Bol
1628413,Jonah Bolden
1629648,Jordan Bone
1629067,Isaac Bonga
1626164,Devin Booker
1628449,Chris Boucher
1628968,Brian Bowen II
1629065,Ky Bowman
202340,Avery Bradley
1628396,Tony Bradley
1629714,Jarrell Brantley
1629649,Ignas Brazdeikis
1628969,Mikal Bridges
1628970,Miles Bridges
1629052,Oshae Brissett
1629151,Ryan Broekhoff
1627763,Malcolm Brogdon
1628415,Dillon Brooks
1628971,Bruce Brown
1627759,Jaylen Brown
1629650,Moses Brown
1628425,Sterling Brown
1629718,Charles Brown Jr.
1628972,Troy Brown Jr.
1628973,Jalen Brunson
1628418,Thomas Bryant
203493,Reggie Bullock
203504,Trey Burke
202692,Alec Burks
1629126,Deonte Burton
202710,Jimmy Butler
203998,Bruno Caboclo
1629719,Devontae Cacok
203484,Kentavious Caldwell-Pope
1628427,Vlatko Cancar
203991,Clint Capela
201960,DeMarre Carroll
1628975,Jevon Carter
1713,Vince Carter
1628976,Wendell Carter Jr.
203487,Michael Carter-Williams
1627936,Alex Caruso
1626161,Willie Cauley-Stein
2199,Tyson Chandler
201163,Wilson Chandler
1629597,Zylan Cheatham
1629185,Chris Chiozza
1627737,Marquese Chriss
1629109,Gary Clark
1629634,Brandon Clarke
203903,Jordan Clarkson
1629651,Nicolas Claxton
1629598,Chris Clemons
1628499,Antonius Cleveland
1629599,Amir Coffey
1628381,John Collins
1628380,Zach Collins
201144,Mike Conley
1626192,Pat Connaughton
1626188,Quinn Cook
1629076,Tyler Cook
202326,DeMarcus Cousins
203496,Robert Covington
203459,Allen Crabbe
1628470,Torrey Craig
203109,Jae Crowder
1629633,Jarrett Culver
203552,Seth Curry
201939,Stephen Curry
203584,Troy Daniels
203076,Anthony Davis
202334,Ed Davis
1629056,Terence Davis
201942,DeMar DeRozan
203473,Dewayne Dedmon
203521,Matthew Dellavedova
1628978,Donte DiVincenzo
1627767,Cheick Diallo
1628977,Hamidou Diallo
203476,Gorgui Dieng
203915,Spencer Dinwiddie
1629029,Luka Doncic
1629652,Luguentz Dort
1628422,Damyean Dotson
1629635,Sekou Doumbouya
1628408,PJ Dozier
201609,Goran Dragic
203083,Andre Drummond
201162,Jared Dudley
1627739,Kris Dunn
201142,Kevin Durant
1629035,Carsen Edwards
1627740,Henry Ellenson
201961,Wayne Ellington
203954,Joel Embiid
203516,James Ennis III
1629234,Drew Eubanks
1628980,Jacob Evans
203957,Dante Exum
1629605,Tacko Fall
202324,Derrick Favors
1626245,Cristiano Felicio
1628390,Terrance Ferguson
1628981,Bruno Fernando
1627812,Yogi Ferrell
1627827,Dorian Finney-Smith
1627854,Bryn Forbes
203095,Evan Fournier
1628368,De'Aaron Fox
1626187,Michael Frazier
204025,Tim Frazier
1628982,Melvin Frazier Jr.
1628365,Markelle Fultz
1629117,Wenyen Gabriel
1629655,Daniel Gafford
201568,Danilo Gallinari
204038,Langston Galloway
1629636,Darius Garland
201188,Marc Gasol
200752,Rudy Gay
202331,Paul George
201959,Taj Gibson
1628385,Harry Giles III
1628983,Shai Gilgeous-Alexander
203497,Rudy Gobert
1629164,Brandon Goodwin
203932,Aaron Gordon
201569,Eric Gordon
1628984,Devonte' Graham
1626203,Treveon Graham
203924,Jerami Grant
1627982,Josh Gray
201980,Danny Green
203110,Draymond Green
101123,Gerald Green
203210,JaMychal Green
1629750,Javonte Green
201145,Jeff Green
201933,Blake Griffin
1629741,Marko Guduric
1629657,Kyle Guy
1629060,Rui Hachimura
1628985,Devon Hall
203501,Tim Hardaway Jr.
201935,James Harden
203090,Maurice Harkless
1629607,Jared Harper
1626149,Montrezl Harrell
203914,Gary Harris
203925,Joe Harris
202699,Tobias Harris
1627885,Shaquille Harrison
1628404,Josh Hart
1628392,Isaiah Hartenstein
2617,Udonis Haslem
1629637,Jaxson Hayes
202330,Gordon Hayward
203089,John Henson
1629608,Dewan Hernandez
1627823,Juancho Hernangomez
1626195,Willy Hernangomez
1629639,Tyler Herro
1628987,Kevin Hervey
1626209,Mario Hezonja
1627741,Buddy Hield
201588,George Hill
203524,Solomon Hill
1629658,Jaylen Hoard
