Team,full_name,salary
Atlanta Hawks,Bogdan Bogdanovic,18000000
Atlanta Hawks,Brandon Goodwin,1701593
Atlanta Hawks,Bruno Fernando,1517981
Atlanta Hawks,Cam Reddish,4458000
Atlanta Hawks,Clint Capela,16000000
Atlanta Hawks,Danilo Gallinari,19500000
Atlanta Hawks,De'Andre Hunter,7422000
Atlanta Hawks,John Collins,4137302
Atlanta Hawks,Kevin Huerter,2761920
Atlanta Hawks,Khyri Thomas,744684
Atlanta Hawks,Kris Dunn,4767000
Atlanta Hawks,Lou Williams,8000000
Atlanta Hawks,Onyeka Okongwu,5813640
Atlanta Hawks,Solomon Hill,1620564
Atlanta Hawks,Tony Snell,12178571
Atlanta Hawks,Trae Young,6571800
Boston Celtics,Aaron Nesmith,3458400
Boston Celtics,Carsen Edwards,1517981
Boston Celtics,Demetrius Jackson,92857
Boston Celtics,Evan Fournier,17450000
Boston Celtics,Grant Williams,2498760
Boston Celtics,Guerschon Yabusele,1039080
Boston Celtics,Jaylen Brown,23437500
Boston Celtics,Jayson Tatum,9897120
Boston Celtics,Kemba Walker,34379100
Boston Celtics,Luke Kornet,2250000
Boston Celtics,Marcus Smart,13446428
Boston Celtics,Moritz Wagner,2161920
Boston Celtics,Payton Pritchard,2035800
Boston Celtics,Robert Williams,2029920
Boston Celtics,Romeo Langford,3631200
Boston Celtics,Semi Ojeleye,1752950
Boston Celtics,Tristan Thompson,9258000
Brooklyn Nets,Alize Johnson,110998
Brooklyn Nets,Andre Roberson,163818
Brooklyn Nets,Blake Griffin,776873
Brooklyn Nets,Bruce Brown Jr,1663861
Brooklyn Nets,DeAndre Jordan,10375678
Brooklyn Nets,Iman Shumpert,447155
Brooklyn Nets,James Harden,41254920
Brooklyn Nets,Jeff Green,1620564
Brooklyn Nets,Joe Harris,16071429
Brooklyn Nets,Kevin Durant,40108950
Brooklyn Nets,Kyrie Irving,33460350
Brooklyn Nets,LaMarcus Aldridge,554988
Brooklyn Nets,Landry Shamet,2090040
Brooklyn Nets,Nicolas Claxton,1517981
Brooklyn Nets,Noah Vonleh,263995
Brooklyn Nets,Norvel Pelle,217845
