Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,61,4,737,6.1,11.1,2.7,5.4,0.0,0.0,6.1,11.1,3.6,6.6,10.2,1.4,1.0,1.4,2.1,4.4,14.8
Jaylen Adams,PG,24,MIL,7,0,18,2.0,16.0,0.0,0.0,0.0,4.0,2.0,12.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,4.0
Steven Adams,C,27,NOP,58,58,1605,4.2,6.9,1.3,3.0,0.0,0.1,4.2,6.8,4.8,6.8,11.5,2.5,1.2,0.9,1.7,2.5,9.8
Bam Adebayo,C,23,MIA,64,64,2143,7.7,13.4,4.8,5.9,0.0,0.1,7.6,13.3,2.4,7.2,9.6,5.8,1.3,1.1,2.8,2.4,20.1
LaMarcus Aldridge,C,35,TOT,26,23,674,7.5,15.8,2.2,2.5,1.7,4.3,5.8,11.5,1.0,5.3,6.3,2.6,0.6,1.5,1.4,2.5,18.8
LaMarcus Aldridge,C,35,SAS,21,18,544,7.6,16.4,2.1,2.4,1.8,5.0,5.8,11.4,1.1,5.1,6.2,2.4,0.5,1.2,1.3,2.4,19.1
LaMarcus Aldridge,C,35,BRK,5,5,130,6.9,13.3,2.8,2.8,1.1,1.4,5.8,11.9,0.6,6.1,6.6,3.6,0.8,3.0,1.9,3.0,17.7
Ty-Shon Alexander,SG,22,PHO,15,0,47,2.3,9.2,0.8,1.5,1.5,6.9,0.8,2.3,1.5,6.1,7.7,4.6,0.0,0.8,2.3,1.5,6.9
Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,6.9,16.4,1.7,2.4,2.7,7.8,4.1,8.5,0.5,4.7,5.1,3.6,1.7,0.8,2.5,3.1,18.2
Grayson Allen,SG,25,MEM,50,38,1259,4.9,11.8,2.3,2.6,3.1,7.8,1.9,4.0,0.5,4.0,4.6,3.1,1.3,0.2,1.4,2.0,15.2
Jarrett Allen,C,22,TOT,63,45,1864,5.8,9.3,3.9,5.6,0.1,0.4,5.6,8.9,3.8,8.4,12.2,2.0,0.6,1.7,1.9,1.9,15.6
Jarrett Allen,C,22,BRK,12,5,320,5.0,7.3,5.2,6.9,0.0,0.0,5.0,7.3,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1
Jarrett Allen,C,22,CLE,51,40,1544,5.9,9.7,3.7,5.3,0.1,0.4,5.8,9.3,3.7,8.1,11.8,2.0,0.6,1.7,1.8,1.7,15.7
Al-Farouq Aminu,PF,30,TOT,23,14,434,3.2,8.2,1.5,1.8,0.7,3.1,2.5,5.1,1.8,7.3,9.1,2.6,1.6,0.7,2.3,2.4,8.5
Al-Farouq Aminu,PF,30,ORL,17,14,367,3.5,8.7,1.4,1.7,0.7,3.0,2.8,5.7,2.0,7.0,8.9,2.8,1.7,0.9,2.5,2.2,9.1
Al-Farouq Aminu,PF,30,CHI,6,0,67,1.1,5.4,2.1,2.7,0.5,3.2,0.5,2.1,1.1,9.1,10.2,1.1,1.1,0.0,1.6,3.8,4.8
Kyle Anderson,PF,27,MEM,69,69,1887,5.9,12.6,2.7,3.5,1.8,5.0,4.1,7.6,1.0,6.6,7.6,4.8,1.6,1.1,1.6,2.3,16.3
Giannis Antetokounmpo,PF,26,MIL,61,61,2013,11.2,19.7,7.1,10.4,1.2,4.0,10.0,15.7,1.7,10.3,12.0,6.4,1.3,1.3,3.7,3.0,30.7
Kostas Antetokounmpo,PF,23,LAL,15,0,56,1.9,6.4,3.9,8.4,0.0,0.0,1.9,6.4,2.6,9.6,12.2,0.6,1.3,2.6,7.1,5.1,7.7
Thanasis Antetokounmpo,SF,28,MIL,57,3,551,4.4,9.0,1.6,3.2,0.5,1.9,3.9,7.1,3.5,4.6,8.1,3.0,1.4,0.7,2.8,4.8,10.8
Carmelo Anthony,PF,36,POR,69,3,1690,7.0,16.6,2.9,3.3,2.8,6.9,4.1,9.6,0.7,3.9,4.6,2.2,1.0,0.8,1.3,3.1,19.7
Cole Anthony,PG,20,ORL,47,34,1273,6.2,15.6,3.1,3.7,1.6,4.9,4.6,10.7,1.1,5.2,6.2,5.4,0.8,0.5,3.0,2.8,17.1
OG Anunoby,SF,23,TOR,43,43,1433,6.3,13.0,2.0,2.6,2.6,6.6,3.6,6.5,1.4,4.6,6.0,2.4,1.7,0.8,1.9,2.9,17.1
Ryan Arcidiacono,PG,26,CHI,44,0,450,3.9,9.4,1.0,1.6,2.0,5.4,1.9,4.0,0.4,5.0,5.4,4.5,0.7,0.0,0.8,3.8,10.9
Trevor Ariza,SF,35,MIA,30,27,841,4.2,10.3,1.5,1.9,2.1,6.1,2.1,4.2,1.2,5.0,6.2,2.4,1.3,0.8,0.9,2.4,12.1
D.J. Augustin,PG,33,TOT,57,12,1129,4.3,10.9,2.7,3.0,2.6,6.9,1.7,4.0,0.6,2.4,3.0,6.0,0.9,0.0,2.1,1.8,14.0
D.J. Augustin,PG,33,MIL,37,6,713,3.6,9.7,1.8,2.0,2.5,6.5,1.1,3.2,0.6,2.0,2.5,5.6,1.0,0.1,1.7,1.7,11.5
D.J. Augustin,PG,33,HOU,20,6,416,5.5,13.1,4.2,4.7,2.9,7.6,2.6,5.5,0.8,3.0,3.8,6.8,0.7,0.0,2.7,2.0,18.3
